"","Player","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"135","Tim Tebow",NA,"95_DEN_QB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","D'Qwell Jackson",NA,"96_CLV_LB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Donald Penn",NA,"97_TB_OT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Willis McGahee",NA,"98_DEN_RB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Ryan Kalil",NA,"99_CAR_C",NA,"93_CAR_C",NA,"79_CAR_C",NA,NA,NA,NA,NA
"140","J. J. Watt",NA,NA,"5_HOU_DE","12_HOU_DE",NA,NA,NA,"84_HOU_DE","12_HOU_DE","45_HOU_DE","66_HOU_DE"
"141","Aldon Smith",NA,NA,"7_SF_LB","33_SF_LB",NA,NA,NA,NA,NA,NA,NA
"142","Robert Griffin III",NA,NA,"15_WAS_QB",NA,NA,NA,NA,NA,NA,NA,NA
"143","Andrew Luck",NA,NA,"23_IND_QB","30_IND_QB","7_IND_QB","92_IND_QB","51_IND_QB",NA,"20_IND_QB",NA,NA
"144","Julio Jones",NA,NA,"26_ATL_WR",NA,"13_ATL_WR","8_ATL_WR","3_ATL_WR","4_ATL_WR","9_ATL_WR","11_ATL_WR","29_ATL_WR"
"145","Charles Tillman",NA,NA,"34_CHI_CB",NA,NA,NA,NA,NA,NA,NA,NA
"146","Dez Bryant",NA,NA,"35_DAL_WR","25_DAL_WR","15_DAL_WR","51_DAL_WR","60_DAL_WR",NA,NA,NA,NA
"147","Geno Atkins",NA,NA,"36_CIN_DT","48_CIN_DT",NA,"29_CIN_DT","68_CIN_DT","63_CIN_DT","79_CIN_DT",NA,NA
"148","Duane Brown",NA,NA,"48_HOU_OT","86_HOU_OT",NA,NA,NA,NA,NA,NA,NA
"149","Justin Houston",NA,NA,"49_KC_LB","57_KC_LB","27_KC_LB","26_KC_LB","76_KC_LB",NA,NA,NA,NA
"150","Richard Sherman",NA,NA,"50_SEA_CB","7_SEA_CB","11_SEA_CB","20_SEA_CB","21_SEA_CB","64_SEA_CB",NA,"28_SF_CB",NA
"151","Russell Wilson",NA,NA,"51_SEA_QB","20_SEA_QB","22_SEA_QB","17_SEA_QB","24_SEA_QB","11_SEA_QB","25_SEA_QB","2_SEA_QB","12_SEA_QB"
"152","Vincent Jackson",NA,NA,"52_TB_WR","44_TB_WR",NA,NA,NA,NA,NA,NA,NA
"153","Doug Martin",NA,NA,"57_TB_RB",NA,NA,"33_TB_RB",NA,NA,NA,NA,NA
"154","Stephen Tulloch",NA,NA,"63_DET_LB",NA,NA,NA,NA,NA,NA,NA,NA
"155","Alfred Morris",NA,NA,"64_WAS_RB",NA,NA,NA,NA,NA,NA,NA,NA
"156","Demaryius Thomas",NA,NA,"68_DEN_WR","49_DEN_WR","20_DEN_WR","62_DEN_WR",NA,NA,NA,NA,NA
"157","Tim Jennings",NA,NA,"69_CHI_CB","74_CHI_CB",NA,NA,NA,NA,NA,NA,NA
"158","Chad Greenway",NA,NA,"70_MIN_LB",NA,NA,NA,NA,NA,NA,NA,NA
"159","Trent Richardson",NA,NA,"71_CLV_RB",NA,NA,NA,NA,NA,NA,NA,NA
"160","Brandon Flowers",NA,NA,"75_KC_CB",NA,NA,NA,NA,NA,NA,NA,NA
"161","Aaron Hernandez",NA,NA,"77_NE_TE",NA,NA,NA,NA,NA,NA,NA,NA
"162","Luke Kuechly",NA,NA,"79_CAR_LB","15_CAR_LB","14_CAR_LB","7_CAR_LB","20_CAR_LB","12_CAR_LB","24_CAR_LB",NA,NA
"163","Colin Kaepernick",NA,NA,"81_SF_QB","81_SF_QB",NA,NA,NA,NA,NA,NA,NA
"164","Bernard Pollard",NA,NA,"87_BAL_S",NA,NA,NA,NA,NA,NA,NA,NA
"165","Jacoby Jones",NA,NA,"88_BAL_WR",NA,NA,NA,NA,NA,NA,NA,NA
